product,version,class consts with variable class name,assignments into variable-variables,assignments w/ops into variable-variables,list assignments into variable-variables,ref assignments into variable-variables,object creation with variable class name,calls of variable function names,calls of variable method names,calls of static methods with variable names,calls of static methods with variable targets,includes with non-literal paths,fetches of properties with variable names,fetches of static properties with variable names,fetches of static properties with variable targets,uses of variable-variables (including the above),definitions of overloads: set,definitions of overloads: get,definitions of overloads: isset,definitions of overloads: unset,definitions of overloads: call,definitions of overloads: callStatic,var-args support functions,break with non-literal argument,continue with non-literal argument
WordPress,3.1.4,0,16,0,0,0,105,33,5,0,0,331,135,0,0,37,1,0,0,0,0,0,82,0,0
WordPress,1.5.2,0,59,0,0,0,0,1,1,0,0,86,7,0,0,80,0,0,0,0,0,0,12,0,0
WordPress,3.3.1,0,14,0,0,0,106,33,4,0,0,345,122,0,0,35,2,2,1,0,0,0,85,0,0
WordPress,2.3.2,0,9,0,0,0,1,8,1,0,0,152,42,0,0,16,0,0,0,0,0,0,33,0,0
WordPress,2.7,0,13,0,0,0,4,24,2,0,0,201,70,0,0,38,0,0,0,0,0,0,64,0,0
WordPress,3.1.3,0,16,0,0,0,105,33,5,0,0,331,135,0,0,37,1,0,0,0,0,0,82,0,0
WordPress,1.5.1,0,60,0,0,0,0,1,1,0,0,86,7,0,0,81,0,0,0,0,0,0,12,0,0
WordPress,2.1.3,0,9,0,0,0,1,8,1,0,0,115,28,0,0,14,0,0,0,0,0,0,29,0,0
WordPress,2.6,0,11,0,0,0,4,18,2,0,0,201,53,0,0,28,0,0,0,0,0,0,63,0,0
WordPress,3.1.2,0,16,0,0,0,105,33,5,0,0,331,135,0,0,37,1,0,0,0,0,0,82,0,0
WordPress,2.3.1,0,9,0,0,0,1,8,1,0,0,151,42,0,0,16,0,0,0,0,0,0,33,0,0
WordPress,2.1.2,0,9,0,0,0,1,8,1,0,0,115,28,0,0,14,0,0,0,0,0,0,29,0,0
WordPress,2.5,0,11,0,0,0,2,10,1,0,0,179,44,0,0,28,0,0,0,0,0,0,62,0,0
WordPress,3.1.1,0,16,0,0,0,105,33,5,0,0,331,135,0,0,37,1,0,0,0,0,0,82,0,0
WordPress,2.1.1,0,9,0,0,0,1,8,1,0,0,115,28,0,0,14,0,0,0,0,0,0,29,0,0
WordPress,2.3,0,9,0,0,0,1,8,1,0,0,151,42,0,0,16,0,0,0,0,0,0,33,0,0
WordPress,2.2,0,9,0,0,0,1,8,1,0,0,132,31,0,0,14,0,0,0,0,0,0,32,0,0
WordPress,2.1,0,9,0,0,0,1,8,1,0,0,115,28,0,0,14,0,0,0,0,0,0,29,0,0
