p,file,variableVariables,variableCalls,variableMethodCalls,variableNews,variableProperties,variableClassConsts,variableStaticCalls,variableStaticTargets,variableStaticProperties,variableStaticPropertyTargets
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/Templates/skel/webroot/test.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Console/cake.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/CakeErrorController.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component.php,0,0,0,0,4,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Acl/AclInterface.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Acl/DbAcl.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Acl/IniAcl.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Acl/PhpAcl.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/AclComponent.php,0,0,0,1,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/ActionsAuthorize.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/BaseAuthenticate.php,0,0,0,0,0,0,0,0,0,0
CakePHP,/export/scratch1/hills/corpus/CakePHP/cakephp-2.2.0-0/lib/Cake/Controller/Component/Auth/BaseAuthorize.php,0,0,0,0,0,0,0,0,0,0
