product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,class const,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var
WordPress,1.5.1,338,2702,0,5357,0,0,0,392,0,2,0,0,22,0,0,0,45,6,1,1,2447,15,90,8,57,105,0,0,323,154,119,31,26,24,0,269,24,157,22,682,11,827,0,6,0,74,30,0,92,80,67,1,3,6,6,0,0,0,0,1126,352,80,2,187,7627,756,4,223,0,337,13,2723,0,140,0,17712,20578,0
WordPress,2.1.3,943,4208,0,7689,0,0,0,620,0,6,0,0,13,0,0,0,99,23,4,1,3495,48,115,7,87,123,0,0,471,271,155,29,21,8,0,334,50,167,45,943,43,1243,0,6,1,123,43,0,135,160,277,1,3,7,64,0,0,0,0,1877,628,142,3,193,11718,1482,3,275,0,479,6,4302,0,232,0,24711,30477,0
WordPress,2.6,2022,8574,0,13470,0,4,0,938,0,21,0,2,42,0,0,0,146,104,13,9,5874,63,238,9,98,252,27,20,1080,512,282,113,55,21,0,646,235,367,58,1560,229,2538,0,28,15,247,55,0,240,388,448,7,3,14,164,13,0,1,0,4386,1181,418,8,255,20477,3118,144,387,0,982,7,6774,0,490,0,41835,53971,0
WordPress,3.1.2,4442,17212,0,22380,12,8,1,1381,1,26,0,2,123,0,0,0,332,199,105,3,10406,96,335,20,143,359,38,24,2547,1159,418,163,46,17,0,927,560,463,107,2543,693,4791,4,36,15,317,68,0,421,714,616,67,23,61,548,51,0,4,0,9499,2169,526,0,485,35042,5252,456,558,0,2513,2,12109,0,1211,0,77960,91070,0
WordPress,2.3.1,1344,5437,0,9802,0,0,0,779,0,8,0,0,15,0,0,0,105,25,2,2,4273,50,137,9,92,137,1,0,609,363,213,63,23,8,0,408,158,201,54,1143,101,1626,0,10,1,150,44,0,141,224,424,1,3,9,92,7,0,0,0,2512,828,192,2,197,14600,1934,4,321,0,644,38,5542,0,326,0,30621,38829,0
WordPress,2.1.2,943,4206,0,7658,0,0,0,620,0,6,0,0,13,0,0,0,99,23,4,1,3484,48,115,7,87,123,0,0,467,270,155,29,21,8,0,332,50,167,45,941,41,1239,0,6,1,123,43,0,135,158,190,1,3,6,64,0,0,0,0,1873,626,142,3,193,11675,1482,3,275,0,479,6,4298,0,234,0,24671,30412,0
WordPress,2.5,1811,7951,0,12541,0,4,0,904,0,21,0,2,35,0,0,0,118,147,15,7,5557,54,171,9,87,238,27,20,919,460,259,101,53,18,0,608,212,283,47,1467,195,2329,0,17,5,196,44,0,237,329,443,7,3,14,146,13,0,0,0,4044,1121,398,8,227,18866,2866,136,357,0,921,7,6358,0,490,0,39600,49882,0
WordPress,3.1.1,4442,17209,0,22380,12,8,1,1381,1,26,0,2,123,0,0,0,332,199,105,3,10405,96,335,20,143,359,38,24,2546,1159,418,163,46,17,0,926,560,463,107,2544,693,4791,4,36,15,317,68,0,421,714,616,67,23,61,548,51,0,4,0,9499,2169,526,0,485,35042,5252,456,558,0,2512,2,12111,0,1212,0,77955,91070,0
WordPress,2.1.1,943,4206,0,7656,0,0,0,620,0,6,0,0,13,0,0,0,99,23,4,1,3484,48,115,7,87,123,0,0,467,270,155,29,21,8,0,332,50,167,45,941,41,1238,0,6,1,123,43,0,135,158,190,1,3,6,64,0,0,0,0,1873,625,142,3,193,11668,1482,3,275,0,479,6,4295,0,234,0,24666,30403,0
WordPress,2.3,1342,5443,0,9788,0,0,0,781,0,8,0,0,15,0,0,0,105,25,3,2,4272,50,137,9,92,137,1,0,608,362,213,63,23,8,0,405,158,200,54,1141,99,1629,0,10,1,153,44,0,141,224,423,1,3,9,90,7,0,0,0,2502,830,191,2,197,14585,1934,4,321,0,646,45,5544,0,325,0,30640,38790,0
WordPress,2.2,1112,4835,0,8827,0,0,0,727,0,10,0,0,15,0,0,0,104,25,3,2,3892,48,129,9,90,132,1,0,533,306,186,63,23,8,0,403,139,193,49,1050,63,1416,0,10,1,137,53,0,143,192,350,1,3,9,77,0,0,0,0,2236,709,169,2,188,13279,1825,4,289,0,585,9,5166,0,287,0,27789,35175,0
WordPress,2.1,943,4205,0,7653,0,0,0,619,0,6,0,0,13,0,0,0,99,23,4,1,3479,48,115,7,87,123,0,0,467,270,155,29,21,8,0,332,49,167,45,940,41,1237,0,6,1,123,43,0,135,158,190,1,3,5,64,0,0,0,0,1872,624,141,3,193,11647,1482,3,275,0,479,6,4295,0,234,0,24654,30390,0
WordPress,2.0,624,3442,0,5992,0,0,0,429,0,3,0,3,28,0,0,0,54,11,1,1,2895,34,90,8,77,116,0,0,351,213,126,24,22,8,0,304,41,134,23,790,42,1020,0,5,0,91,32,0,95,120,118,1,3,8,6,0,0,0,0,1490,458,119,3,202,8886,1199,5,230,0,411,3,3582,0,170,0,20178,24121,0
WordPress,2.0.11,720,3752,0,6729,0,0,0,458,0,5,0,3,29,0,0,0,60,21,1,1,3282,42,102,7,79,114,0,0,386,225,140,26,22,9,0,321,48,155,32,842,41,1131,0,5,1,113,34,0,111,124,233,1,3,9,15,0,0,0,0,1637,505,132,3,240,10232,1317,4,234,0,450,3,3756,0,172,0,22306,26464,0
WordPress,2.0.10,718,3747,0,6705,0,0,0,458,0,5,0,3,29,0,0,0,60,21,1,1,3250,42,102,7,79,114,0,0,386,226,140,26,22,9,0,321,45,153,32,844,41,1131,0,5,1,113,34,0,111,124,215,1,3,9,15,0,0,0,0,1620,505,132,3,242,10116,1314,4,234,0,449,3,3744,0,172,0,22232,26398,0
WordPress,1.5-strayhorn,330,2634,0,5291,0,0,0,361,0,2,0,0,22,0,0,0,6,6,7,1,2250,15,85,8,45,102,0,6,311,145,114,29,27,27,0,265,22,154,21,650,10,782,0,8,0,71,30,0,88,80,66,1,3,6,6,0,0,0,0,1056,338,82,2,183,7055,752,4,220,0,305,13,2653,0,127,0,16677,20103,0
WordPress,2.8.6,3192,14551,0,18934,12,8,0,1214,0,25,0,2,95,0,0,0,329,149,54,5,7695,89,311,16,152,344,33,20,1681,862,381,138,51,20,0,752,454,453,92,2025,491,3510,2,37,16,319,70,0,366,646,542,24,20,38,412,20,0,3,0,7445,1645,505,6,353,27554,4745,409,433,0,1990,6,9759,0,877,0,63666,75446,0
