ID,Product,Path,Line,Derivable Names,Assigns Through,Made Global,Uses literal pattern,Uses foreach,Uses switch,Uses conditional,Derivable with annotations,Notes
163,SquirrelMail,functions/strings.php,662,N,N,N,,,,,,Value comes in as elements of an array passed as a parameter. Marked obsolete.
164,SquirrelMail,functions/strings.php,663,N,N,N,,,,,,Value comes in as elements of an array passed as a parameter. Marked obsolete.
165,SquirrelMail,functions/strings.php,664,N,Y,N,,,,,,Value comes in as elements of an array passed as a parameter. Marked obsolete.
166,SquirrelMail,functions/strings.php,667,N,Y,N,,,,,,Value comes in as elements of an array passed as a parameter. Marked obsolete.
167,SquirrelMail,functions/strings.php,671,N,N,N,,,,,,Value comes in as elements of an array passed as a parameter. Marked obsolete.
168,SquirrelMail,functions/strings.php,680,N,N,Y,,,,,,Value comes in as elements of an array passed as a parameter.
169,SquirrelMail,functions/strings.php,681,N,N,N,,,,,,Value comes in as elements of an array passed as a parameter.
170,SquirrelMail,functions/strings.php,682,N,N,N,,,,,,Value comes in as elements of an array passed as a parameter.
171,SquirrelMail,functions/strings.php,685,N,Y,N,,,,,,Value comes in as elements of an array passed as a parameter.
172,SquirrelMail,functions/strings.php,687,N,Y,N,,,,,,Value comes in as elements of an array passed as a parameter.
173,SquirrelMail,functions/strings.php,691,N,N,N,,,,,,Value comes in as elements of an array passed as a parameter.
174,WordPress,wp-includes/comment.php,337,Y,Y,N,,X,,,,"Value based on contents of array, used in a foreach."
175,WordPress,wp-admin/includes/dashboard.php,920,Y,N,N,,X,,,,"Value based on contents of array, used in a foreach."
176,WordPress,wp-admin/includes/dashboard.php,920,Y,N,N,,X,,,,"Value based on contents of array, used in a foreach."
177,WordPress,wp-admin/includes/dashboard.php,923,Y,N,N,,X,,,,"Value based on contents of array, used in a foreach."
178,WordPress,wp-admin/includes/dashboard.php,980,Y,N,N,,X,,,,"Value based on contents of array, used in a foreach."
179,WordPress,wp-admin/includes/dashboard.php,981,Y,Y,N,,X,,,,"Value based on contents of array, used in a foreach."
180,WordPress,wp-includes/default-widgets.php,956,Y,N,N,,X,,,,"Value based on contents of array, used in a foreach."
181,WordPress,wp-admin/link-parse-opml.php,53,N,Y,N,,,,,,Based on value in a global.
182,WordPress,wp-includes/link-template.php,2037,Y,Y,N,,X,,,,Value based on contents of array given directly in a foreach.
183,WordPress,wp-includes/link-template.php,2037,Y,N,N,,X,,,,Value based on contents of array given directly in a foreach.
184,WordPress,wp-includes/link-template.php,2038,Y,Y,N,,X,,,,Value based on contents of array given directly in a foreach.
185,WordPress,wp-includes/link-template.php,2038,Y,N,N,,X,,,,Value based on contents of array given directly in a foreach.
186,WordPress,wp-admin/includes/menu.php,48,Y,N,N,,X,,,,"Value based on contents of an array of literals (with 1 element!), using in a foreach"
187,WordPress,wp-admin/includes/menu.php,51,Y,Y,N,,X,,,,"Value based on contents of an array of literals (with 1 element!), using in a foreach"
188,WordPress,wp-admin/includes/menu.php,57,Y,N,N,,X,,,,"Value based on contents of an array of literals (with 1 element!), using in a foreach"
189,WordPress,wp-admin/includes/menu.php,58,Y,Y,N,,X,,,,"Value based on contents of an array of literals (with 1 element!), using in a foreach"
190,WordPress,wp-admin/includes/misc.php,244,N,N,Y,,,,,,Values come in a function parameter array; this makes it global
191,WordPress,wp-admin/includes/misc.php,248,N,Y,N,,,,,,Values come in a function parameter array
192,WordPress,wp-admin/includes/misc.php,250,N,Y,N,,,,,,Values come in a function parameter array
193,WordPress,wp-admin/includes/misc.php,252,N,Y,N,,,,,,Values come in a function parameter array
194,WordPress,wp-includes/pluggable.php,1355,Y,Y,N,,X,,,,Values based on contents of an array given in the foreach loop.
195,WordPress,wp-includes/pluggable.php,1356,Y,N,N,,X,,,,Values based on contents of an array given in the foreach loop.
196,WordPress,wp-includes/pluggable.php,1357,Y,Y,N,,X,,,,Values based on contents of an array given in the foreach loop.
197,WordPress,wp-includes/pluggable.php,1358,Y,N,N,,X,,,,Values based on contents of an array given in the foreach loop.
198,WordPress,wp-includes/pluggable.php,1359,Y,Y,N,,X,,,,Values based on contents of an array given in the foreach loop.
199,WordPress,wp-includes/pluggable.php,1360,Y,N,N,,X,,,,Values based on contents of an array given in the foreach loop.
200,WordPress,wp-includes/query.php,2577,N,Y,N,,,,,,Based on all variables in scope (from what I can tell)
201,WordPress,wp-includes/query.php,2596,N,Y,N,,,,,,Based on all variables in scope (from what I can tell)
202,WordPress,wp-admin/setup-config.php,164,Y,Y,N,,X,,,,Values based on contents of an array given in the foreach loop.
203,WordPress,wp-includes/taxonomy.php,1370,Y,Y,N,,X,,,,Values based on contents of an array given above in the code.
204,WordPress,wp-admin/includes/template.php,630,Y,N,N,,X,,,,Values based on contents of an array given in the foreach loop.
205,WordPress,wp-admin/includes/template.php,632,Y,N,N,,X,,,,Values based on contents of an array given in the foreach loop.
206,WordPress,wp-admin/user-new.php,307,Y,N,N,,X,,,,Values based on contents of an array given in the foreach loop and string concatenation.
207,WordPress,wp-admin/user-new.php,308,Y,Y,N,,X,,,,Values based on contents of an array given in the foreach loop and string concatenation.
208,WordPress,wp-admin/user-new.php,310,Y,Y,N,,X,,,,Values based on contents of an array given in the foreach loop and string concatenation.
209,WordPress,wp-includes/user.php,1359,N,N,N,,,,,,Based on return value of a function call.
210,WordPress,wp-includes/user.php,1360,N,N,N,,,,,,Based on return value of a function call.
211,ZendFramework,library/Zend/Auth/Adapter/Digest.php,80,Y,N,N,,X,,,,"Names given directly above as literals in array, reference parameters to the method."
212,ZendFramework,library/Zend/Auth/Adapter/Digest.php,82,Y,N,N,,X,,,,"Names given directly above as literals in array, reference parameters to the method."
213,ZendFramework,tests/Zend/View/Helper/FormCheckboxTest.php,200,Y,N,N,,X,,,,Names given directly above as literals in array.
214,ZendFramework,library/Zend/Ldap.php,941,Y,Y,N,,,X,,,Names given in cases as literals.
215,ZendFramework,library/Zend/Ldap.php,953,Y,Y,N,,,X,,,Names given in cases as literals.
216,ZendFramework,library/Zend/Serializer/Adapter/PythonPickle.php,998,?,?,?,,,,,,Appears to be a bug.
217,ZendFramework,library/Zend/Serializer/Adapter/PythonPickle.php,1078,?,?,?,,,,,,Appears to be a bug.
218,osCommerce,catalog/admin/action_recorder.php,40,N,Y,N,,,,,,"Reflective over information on files to create classes, non-literal."
219,osCommerce,catalog/admin/action_recorder.php,52,N,Y,N,,,,,,Reflective over module names.
